Term Name,PGY1 Term 1 Allocation,PGY1 Term 2 Allocation,PGY1 Term 3 Allocation,PGY1 Term 4 Allocation,PGY1 Term 5 Allocation,Term Classification,Term Classification 2,Specialty Status,Subspecialty Status,Clinical Team Structure,Rurality,PGY2 Only,Maximum allocated PGY1 in 2024
BDH Acute General Medicine & Cardiology (PGY1/2),1,0,1,0,1,A-Undifferentiated illness patient care,C-Acute critical illness patient care,General Medicine,,Team Based,Urban,No,3
BDH Acute General Medicine & Rehabilitation (PGY1/2),0,1,0,1,0,A-Undifferentiated illness patient care,C-Acute critical illness patient care,Rehabilitation,Rehabilitation,Team Based,Urban,No,2
BDH Acute General Medicine (PGY1/2),1,1,1,1,1,A-Undifferentiated illness patient care,C-Acute critical illness patient care,General Medicine,,Team Based,Urban,No,5
BDH Drug and Alcohol Clinical Services (PGY1/2),0,1,0,1,0,B-Chronic illness patient care,C-Acute critical illness patient care,Addiction Medicine,,Team Based,Urban,No,2
BDH Emergency (PGY1/2),2,1,2,1,2,C-Acute critical illness patient care,A-Undifferentiated illness patient care,Emergency Medicine,,Team Based,Urban,No,8
BDH Sub-Acute General Medicine (Team 5) (PGY1/2),0,1,0,1,0,B-Chronic illness patient care,C-Acute critical illness patient care,General Medicine,Geriatric,Team Based,Urban,No,2
BDH Surgery (PGY1/2),1,1,1,1,1,A-Undifferentiated illness patient care,C-Acute critical illness patient care,General Surgery,,Team Based,Urban,No,5
CMN Emergency (PGY1/2),3,3,3,3,3,A-Undifferentiated illness patient care,C-Acute critical illness patient care,Emergency Medicine,,Team Based,Urban,No,15
CMN General Medicine (PGY1/2),4,4,4,4,4,B-Chronic illness patient care,C-Acute critical illness patient care,General Medicine,,Team Based,Urban,No,20
CMN Medicine - Cardiology (PGY1/2),1,0,1,0,1,C-Acute critical illness patient care,D-Peri-operative / procedural patient care,General Medicine,Cardiology,Team Based,Urban,No,3
CMN Medicine - Gastroenterology with Drug & Alcohol (PGY1/2),0,1,0,1,0,B-Chronic illness patient care,D-Peri-operative / procedural patient care,General Medicine,Gastroenterology,Team Based,Urban,No,2
CMN Medicine - Haematology (01) (PGY1/2) ,1,1,1,1,1,C-Acute critical illness patient care,B-Chronic illness patient care,General Medicine,Haematology,Team Based,Urban,No,5
CMN Medicine - Medical Oncology (01) (PGY1/2) ,1,1,1,1,1,C-Acute critical illness patient care,B-Chronic illness patient care,General Medicine,Medical Oncology,Team Based,Urban,No,5
CMN Palliative Care (PGY1/2),0,1,0,1,0,B-Chronic illness patient care,,General Medicine,Palliative Care,Team Based,Urban,No,2
CMN Surgery (PGY1/2),2,2,2,2,2,D-Peri-operative / procedural patient care,C-Acute critical illness patient care,General Surgery,,Team Based,Urban,No,10
HNE Mental Health & Substance Use Service - Mater Hospital (PGY1/2),1,1,1,1,1,B-Chronic illness patient care,C-Acute critical illness patient care,Psychiatry,,Team Based,Urban,No,5
HNE Mental Health Lake Macquarie Ward - Mater hospital (PGY1/2),1,1,1,1,1,C-Acute critical illness patient care,B-Chronic illness patient care,Psychiatry,,Team Based,Urban,No,5
HNE Mental Health Newcastle Inpatient Unit - Mater Hospital (PGY1/2),1,1,1,1,1,C-Acute critical illness patient care,B-Chronic illness patient care,Psychiatry,,Team Based,Urban,No,5
